batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,6,43,148867,1,1,1.0,False,False
0,6,44,83504,1,1,1.0,False,False
0,6,45,133794,34,33,0.3958333333333333,True,True
0,6,46,123557,0,0,1.0,False,False
0,6,47,62311,87,83,0.22302158273381295,True,True
0,6,48,19011,0,0,1.0,False,False
0,6,49,81867,7,7,1.0,False,False
0,6,50,42999,19,20,0.18181818181818182,True,True
0,6,51,132577,2,2,1.0,False,False
0,6,52,9946,5,5,1.0,False,False
0,6,53,131371,9,9,1.0,False,False
0,6,54,133641,15,15,0.5789473684210527,True,True
0,6,55,44968,14,13,0.5,True,True
0,6,56,130020,12,12,0.3333333333333333,True,True
0,6,57,129551,1,1,1.0,False,False
0,6,58,78414,9,9,0.8,True,True
0,6,59,41758,7,7,1.0,False,False
0,6,60,101974,0,0,1.0,False,False
0,6,61,37111,11,11,1.0,False,False
0,6,62,79510,54,54,0.38461538461538464,True,True
0,6,63,20237,0,0,1.0,False,False
0,6,64,51355,0,0,1.0,False,False
0,6,65,140923,9,9,0.8,True,True
0,6,66,32505,2,2,1.0,False,False
0,6,67,14421,1,1,1.0,False,False
0,6,68,29356,77,78,0.12318840579710146,True,True
0,6,69,24025,0,0,1.0,False,False
0,6,70,131248,2,2,1.0,False,False
0,6,71,67883,9,10,0.5833333333333334,True,True
0,6,72,79266,10,10,0.42857142857142855,True,True
0,6,73,108389,11,11,0.1,True,True
0,6,74,95415,9,9,0.5,True,True
0,6,75,90553,19,20,0.14705882352941177,True,True
0,6,76,34826,9,10,0.1875,True,True
0,6,77,67754,29,30,0.18,True,True
0,6,78,120141,2,2,1.0,False,False
0,6,79,136222,32,33,0.5116279069767442,True,True
0,7,0,58421,7,7,1.0,False,False
0,7,1,78712,10,10,0.5384615384615384,True,True
0,7,2,64815,5,5,1.0,False,False
0,7,3,8321,9,10,0.1875,True,True
0,7,4,142855,20,20,0.05263157894736842,True,True
0,7,5,112134,15,15,1.0,False,False
0,7,6,108005,3,3,1.0,False,False
0,7,7,83520,5,5,1.0,False,False
0,7,8,92640,4,4,1.0,False,False
0,7,9,125058,3,3,1.0,False,False
0,7,10,126684,10,10,0.05263157894736842,True,True
0,7,11,46606,4,4,1.0,False,False
0,7,12,44299,20,20,0.08108108108108109,True,True
0,7,13,52537,2,2,1.0,False,False
0,7,14,45776,10,10,0.17647058823529413,True,True
0,7,15,109034,16,15,0.34782608695652173,True,True
0,7,16,43990,9,9,0.5,True,True
0,7,17,148018,3,3,1.0,False,False
0,7,18,42174,66,65,0.37894736842105264,True,True
0,7,19,56758,19,20,0.18181818181818182,True,True
0,7,20,21464,1,1,1.0,False,False
0,7,21,146420,1,1,1.0,False,False
0,7,22,1096,6,6,1.0,False,False
0,7,23,75993,4,4,1.0,False,False
0,7,24,87757,1,1,1.0,False,False
0,7,25,59980,10,10,0.05263157894736842,True,True
0,7,26,124982,2,2,1.0,False,False
