arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
ukr,2000,classification,ukr_rus_suspended,,roc_auc,0.48182400000000003,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_31/data/metrics_test_step0.json
ukr,10000,classification,covid_political,,roc_auc,0.9388176527777777,sat_h2m_ukr_s010000,sat_h2m_ukr_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s010000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json
ukr,10000,classification,election2020,,roc_auc,0.9815240000000001,sat_h2m_ukr_s010000,sat_h2m_ukr_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s010000_to_election2020_pl_10shot_01_08_2026_13_34_24/data/metrics_test_step0.json
ukr,10000,classification,twibot20,,roc_auc,0.6222110416666667,sat_h2m_ukr_s010000,sat_h2m_ukr_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s010000_to_twibot20_pl_10shot_01_08_2026_13_39_10/data/metrics_test_step0.json
ukr,10000,classification,ukr_rus_suspended,,roc_auc,0.4840459999999999,sat_h2m_ukr_s010000,sat_h2m_ukr_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s010000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_44/data/metrics_test_step0.json
ukr,40000,classification,covid_political,,roc_auc,0.9294419166666668,sat_h2m_ukr_s040000,sat_h2m_ukr_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s040000_to_covid_political_pl_10shot_01_08_2026_13_31_37/data/metrics_test_step0.json
ukr,40000,classification,election2020,,roc_auc,0.9869379999999999,sat_h2m_ukr_s040000,sat_h2m_ukr_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s040000_to_election2020_pl_10shot_01_08_2026_13_34_34/data/metrics_test_step0.json
ukr,40000,classification,twibot20,,roc_auc,0.5927441666666666,sat_h2m_ukr_s040000,sat_h2m_ukr_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s040000_to_twibot20_pl_10shot_01_08_2026_13_39_22/data/metrics_test_step0.json
ukr,40000,classification,ukr_rus_suspended,,roc_auc,0.502966,sat_h2m_ukr_s040000,sat_h2m_ukr_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s040000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_45/data/metrics_test_step0.json
all8,0,regression,covid19_twitter,account_age_days,spearman,0.020759048635079,sat_h2m_all8_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/scripts/experiments/analysis/pretrain_saturation_nhop2/data/reg_probe/covid19_twitter__reg_probe.csv
